seq,recv_bytes,latency_us,recv_ns
731,512,81,824947861165931
732,512,74,824947862224890
733,512,84,824947863583052
734,512,100,824947864931267
735,512,101,824947866280442
736,512,83,824947867643164
737,512,97,824947868986731
738,512,77,824947870194139
739,512,88,824947871524368
740,512,77,824947872896663
741,512,130,824947874296321
742,512,129,824947875664073
743,512,131,824947876996250
744,512,89,824947878245864
745,512,84,824947879438808
746,512,87,824947880818494
747,512,101,824947882164611
748,512,98,824947883510194
749,512,97,824947884856614
750,512,80,824947885972486
751,512,79,824947887144377
752,512,99,824947888493042
753,512,85,824947889755832
754,512,98,824947891100625
755,512,98,824947892448790
756,512,115,824947893675586
757,512,72,824947894726531
758,512,87,824947896084298
759,512,102,824947897430946
760,512,101,824947898780373
761,512,81,824947899880763
762,512,104,824947901237666
763,512,86,824947902395789
764,512,103,824947903776231
765,512,78,824947904899189
766,512,87,824947906258498
767,512,102,824947907480069
768,512,98,824947908824203
769,512,78,824947910018281
770,512,82,824947911085242
771,512,82,824947912467655
772,512,82,824947913788489
773,512,101,824947915138031
774,512,83,824947916521258
775,512,89,824947917651710
776,512,79,824947918832308
777,512,74,824947920205199
778,512,149,824947921639888
779,512,137,824947923025053
780,512,117,824947924380449
781,512,136,824947925672841
782,512,114,824947926795349
783,512,91,824947927940217
784,512,99,824947929281496
785,512,100,824947930630495
786,512,103,824947931982097
787,512,100,824947933330415
788,512,80,824947934593517
789,512,100,824947935942560
790,512,89,824947937312470
791,512,78,824947938671305
792,512,99,824947940022801
793,512,98,824947941369307
794,512,99,824947942718505
795,512,132,824947944102696
796,512,140,824947945378984
797,512,134,824947946730403
798,512,128,824947948085170
799,512,103,824947949424310
800,512,99,824947950771947
801,512,98,824947952120194
802,512,99,824947953342095
803,512,99,824947954691867
804,512,82,824947956008743
805,512,79,824947957323327
806,512,98,824947958673133
807,512,99,824947960022068
808,512,100,824947961385333
809,512,120,824947962691045
810,512,90,824947964035690
811,512,99,824947965383258
812,512,81,824947966726268
813,512,90,824947968051943
814,512,101,824947969400125
815,512,80,824947970679181
816,512,150,824947972088149
817,512,120,824947973462275
818,512,184,824947974911049
819,512,178,824947976259521
820,512,144,824947977622254
821,512,125,824947978973475
822,512,131,824947980334560
823,512,131,824947981757470
824,512,132,824947983123424
825,512,178,824947984516028
826,512,128,824947985832109
827,512,93,824947987206253
828,512,101,824947988565136
829,512,98,824947989913520
830,512,102,824947991266987
831,512,159,824947992604102
832,512,105,824947993848409
833,512,74,824947995212971
834,512,82,824947996451018
835,512,97,824947997797193
836,512,77,824947999137901
837,512,68,824948000460379
838,512,65,824948001763728
839,512,81,824948003134496
840,512,102,824948004495443
841,512,75,824948005825154
842,512,90,824948007200396
843,512,67,824948008352483
844,512,68,824948009657426
845,512,67,824948011001254
846,512,50,824948012195661
847,512,133,824948013458508
848,512,116,824948014822968
849,512,95,824948015936566
850,512,64,824948017013920
851,512,101,824948018371878
852,512,101,824948019722226
853,512,136,824948021107992
854,512,121,824948022218383
855,512,114,824948023622907
856,512,61,824948024676841
857,512,113,824948025984081
858,512,64,824948027377334
859,512,100,824948028735530
860,512,82,824948030027706
861,512,100,824948031379474
862,512,127,824948032755247
863,512,100,824948034077543
864,512,99,824948035426311
865,512,100,824948036775976
866,512,84,824948038076397
867,512,101,824948039415845
868,512,99,824948040764602
869,512,89,824948042089244
870,512,102,824948043434647
871,512,84,824948044824317
872,512,103,824948045982135
873,512,81,824948047351205
874,512,101,824948048703139
875,512,102,824948050054398
876,512,101,824948051405197
877,512,110,824948052769510
878,512,77,824948054033454
879,512,100,824948055387081
880,512,80,824948056701224
881,512,99,824948058048549
882,512,100,824948059396747
883,512,104,824948060748554
884,512,87,824948062129602
885,512,76,824948063490868
886,512,99,824948064844195
887,512,99,824948066192875
888,512,80,824948067507111
889,512,84,824948068888222
890,512,113,824948070212549
891,512,151,824948071598979
892,512,131,824948072967680
893,512,130,824948074335897
894,512,144,824948075720657
895,512,141,824948077104655
896,512,89,824948078285591
897,512,131,824948079660299
898,512,125,824948081010808
899,512,125,824948082363586
900,512,143,824948083773497
901,512,130,824948085125774
902,512,157,824948086381045
903,512,185,824948087764517
904,512,138,824948089128403
905,512,162,824948090542165
906,512,128,824948091874909
907,512,138,824948093238750
908,512,125,824948094398808
909,512,120,824948095699841
910,512,128,824948097059642
911,512,126,824948098413830
912,512,137,824948099778611
913,512,138,824948100961716
914,512,139,824948102116253
915,512,128,824948103460509
916,512,128,824948104815674
917,512,129,824948106171490
918,512,129,824948107569975
919,512,124,824948108899705
920,512,86,824948110240853
921,512,90,824948111470206
922,512,84,824948112799603
923,512,107,824948114164270
924,512,100,824948115518521
925,512,85,824948116830815
926,512,76,824948118158085
927,512,80,824948119245848
928,512,100,824948120595674
929,512,120,824948121973950
930,512,130,824948123353734
931,512,148,824948124749674
932,512,172,824948126155442
933,512,113,824948127291106
934,512,84,824948128598659
935,512,100,824948129947367
936,512,85,824948131135352
937,512,95,824948132405805
938,512,80,824948133743271
939,512,83,824948134902744
940,512,64,824948135948790
941,512,87,824948137291186
942,512,80,824948138670370
943,512,99,824948140019418
944,512,98,824948141366206
945,512,78,824948142490407
946,512,80,824948143654079
947,512,99,824948145000501
948,512,86,824948146317999
949,512,80,824948147631568
950,512,108,824948148985271
951,512,86,824948150354267
952,512,79,824948151569637
953,512,101,824948152920375
954,512,98,824948154267244
955,512,123,824948155636735
956,512,83,824948156932065
957,512,100,824948158281585
958,512,86,824948159537838
959,512,82,824948160916240
960,512,86,824948162184555
961,512,79,824948163540273
962,512,92,824948164931068
963,512,75,824948166238284
964,512,87,824948167580753
965,512,101,824948168928498
966,512,100,824948170275558
967,512,99,824948171627186
968,512,81,824948172964379
969,512,88,824948174334619
970,512,81,824948175545525
971,512,80,824948176878882
972,512,81,824948178198692
973,512,75,824948179516280
974,512,55,824948180828770
975,512,72,824948182148522
976,512,76,824948183440067
977,512,100,824948184791496
978,512,98,824948186138028
979,512,108,824948187493939
980,512,115,824948188857159
981,512,108,824948190196812
982,512,75,824948191364955
983,512,80,824948192679120
984,512,66,824948193983168
985,512,65,824948195291338
986,512,78,824948196621093
987,512,72,824948197939494
988,512,81,824948199341846
989,512,100,824948200691874
990,512,89,824948202022640
991,512,96,824948203353718
992,512,79,824948204653861
993,512,50,824948205774583
994,512,65,824948207006648
995,512,70,824948208060041
996,512,68,824948209363164
997,512,74,824948210681450
998,512,78,824948212004685
999,512,65,824948213308949
1000,512,76,824948214589024
1001,512,87,824948215928912
1002,512,77,824948217165406
1003,512,100,824948218513727
1004,512,102,824948219862259
1005,512,114,824948221197662
1006,512,140,824948222396557
1007,512,132,824948223790331
1008,512,129,824948225162135
1009,512,150,824948226614480
1010,512,136,824948228008987
